"","running_perl_program_across_mult_platforms_easy","cross_platform_perl_programming_comments"
"2739",7,"Its easy to write one Source and run under VMS,Liunx and windows"
"2740",7,"nothing, we need more support for Windows user"
"2741",NA,""
"2742",NA,""
"2743",6,""
"2744",NA,""
"2745",5,"File::Spec needs to die.  Java is dramatically better in this area"
"2746",5,""
"2747",5,"Many useful modules are tied to libraries available only on selected platforms, therefore complex programs are often not portable"
"2748",1,""
"2749",NA,""
"2750",6,""
"2751",3,""
"2752",NA,""
"2753",NA,""
"2754",1,""
"2755",6,"thanks :-D"
"2756",5,""
"2757",NA,""
"2758",1,""
"2759",5,""
"2760",5,""
"2761",5,"Path::Class rocks?  OTOH we run Linux and Mac OS X desktops, so we don't have to worry about this as much."
"2762",NA,""
"2763",6,"The strongest point. However, the module writer needs to be experienced to avoid small traps."
"2764",NA,""
"2765",NA,""
"2766",NA,""
"2767",NA,""
"2768",6,""
"2769",NA,""
"2770",6,""
"2771",4,"Well, it's not hard, but it's also not hard to write non-portable code. One needs to be aware of a lot of stuff."
"2772",NA,""
"2773",NA,""
"2774",NA,""
"2775",5,"I've experienced great results developing on cygwin and deploying to AIX. So I'm generally happy."
"2776",6,""
"2777",7,"Using things like File::Spec or Path::Class make cross-platform programming easier."
"2778",6,""
"2779",1,""
"2780",5,"As long as application doesn't use OS specific features - it's easy. But when it comes to real production applications - almost all are built with use of specific OS advantages... And it usually still easy to port from one *nix to another."
"2781",NA,""
"2782",6,""
"2783",2,""
"2784",1,""
"2785",6,""
"2786",NA,""
"2787",5,""
"2788",6,"Usually Just Works{TM}, except when Windows screws things up."
"2789",5,"I've had good experiences running scripts written in Linux under Windows, for the most part. My only real issue has been setting up DBD::Oracle (which is a pain in any environment, really). Once setup is complete, everything typically works, though, so I'm happy."
"2790",5,""
"2791",4,""
"2792",4,""
"2793",5,""
"2794",6,""
"2795",NA,""
"2796",3,""
"2797",6,"Generally I have had excellent success running cross-platform scripts with Perl -- much more so than with Java (write once, run nowhere).  The only problems I have had tend to be with modules that have extensive or complicated native dependencies, such as DBD::Oracle."
"2798",7,"Perl is the most write-once run-anywhere language I've dealt with."
"2799",4,"[it] ""is like a dog walking on his hind legs. It is not done well;[CR]but you are surprised to find it done at all.""  Johnson, July 31, 1763"
"2800",NA,""
"2801",NA,""
"2802",1,""
"2803",6,""
"2804",3,"Crossing the unix/windows boundary isn't straightforward. "
"2805",NA,""
"2806",5,"If there was any consistency between windows interpreters, it'd be easier... I *just* had to go thru finding some port, any port, that would run Device::Serialport with POE.  Ended up with cygwin."
"2807",6,"Don't often have to do it, but when I need to, CPAN rarely lets me down."
"2808",5,"Will try strawberry perl next. ActiveState Perl is pita sometimes."
"2809",3,"hate M$, but many people might be trying it...[CR]Would like more on Mobile platforms, but have to develop my own environment,[CR]for example OLPC XO for embedded use...[CR]I'd like more modules and stuff to work on 64 bit..."
"2810",1,""
"2811",5,""
"2812",NA,""
"2813",6,""
"2814",NA,""
"2815",NA,""
"2816",NA,""
"2817",6,""
"2818",4,"Cross platform, for me, also implies a certain lack of control over which modules and versions are installed."
"2819",1,""
"2820",6,""
"2821",NA,""
"2822",6,""
"2823",NA,""
"2824",1,""
"2825",NA,""
"2826",1,""
"2827",5,""
"2828",7,""
"2829",4,""
"2830",NA,""
"2831",NA,""
"2832",NA,""
"2833",NA,""
"2834",NA,""
"2835",NA,""
"2836",4,"You will not make any bananas that way!"
"2837",NA,""
"2838",NA,""
"2839",NA,""
"2840",5,"Most of the time there are no problems. Usually the problems are with the dependencies."
"2841",1,""
"2842",4,"Almost sure my programs need porting to run on Windows which is a pity, mostly because of CPAN modules.[CR]"
"2843",6,"Works great in Perl; usually doesn't make a difference where I tested/wrote."
"2844",6,""
"2845",6,"Perl is more portable across platforms than versions (e.g. 5.6 vs 5.8)."
"2846",5,""
"2847",5,""
"2848",6,"The necessity of 'make' in module installation causes issues under Windows since most Windows users don't have a make (or nmake, dmake ...) on their systems.  Strawberry Perl helps, but not everybody uses Strawberry.  This can be an issue on Macs, as well, if they don't have the Developer Tools installed."
"2849",5,"I very rarely have the opportunity (not sure if that's the right word) to run perl programs on non-UNIX platforms."
"2850",6,""
"2851",NA,""
"2852",NA,""
"2853",NA,""
"2854",NA,""
"2855",6,""
"2856",5,""
"2857",NA,""
"2858",NA,""
"2859",3,""
"2860",6,""
"2861",6,""
"2862",NA,""
"2863",7,""
"2864",7,""
"2865",1,"it would be cool, but I never tried"
"2866",6,""
"2867",NA,""
"2868",7,""
"2869",NA,""
"2870",NA,""
"2871",4,""
"2872",7,""
"2873",5,""
"2874",4,"Lots of things work well across multiple platforms; the exceptions, however, are very annoying!"
"2875",6,"Win32::Clipboard on Windows is very useful."
"2876",6,"I don't usually do things that are fancy enough to run into cross-platform problems (except UNIX vs. DOS nvs. Mac newlines!)"
"2877",6,""
"2878",6,""
"2879",NA,""
"2880",1,""
"2881",NA,""
"2882",6,"It's great except for Windows path/device issues."
"2883",6,"i avoid windows, so it's pretty easy"
"2884",5,"Unix-isms easy to slip into Perl programs (goodness in some contexts) make many programs unportable to Microsoft Windows"
"2885",7,""
"2886",NA,""
"2887",5,""
"2888",NA,""
"2889",NA,""
"2890",2,""
"2891",6,"It works for me."
"2892",5,"I don't really do windows."
"2893",1,""
"2894",6,""
"2895",6,""
"2896",NA,""
"2897",NA,""
"2898",NA,""
"2899",1,"If your project is more complicated than ""Hello world!"" it could quite hard to maintain. It applies to any programming language."
"2900",6,"Use IPC::System::Simple; PJF deserves an award for that one.  It makes running things on Windows actually reliable."
"2901",6,""
"2902",NA,""
"2903",NA,""
"2904",5,""
"2905",6,""
"2906",5,""
"2907",1,""
"2908",1,""
"2909",6,""
"2910",4,""
"2911",NA,""
"2912",6,""
"2913",1,""
"2914",NA,""
"2915",7,"While I don't maintain our local CPAN setup, I've frequently written code on our servers, run it on my local OSX machine, on a different remote Linux machine, etc.  It's very well done."
"2916",1,""
"2917",5,""
"2918",5,""
"2919",1,""
"2920",5,"Bundling using PAR should get more usability/documentation/DWIM support."
"2921",4,""
"2922",5,""
"2923",5,"its better than most languages "
"2924",NA,""
"2925",5,"I do not use any platforms other then Linux, therefore this is not a concern for me."
"2926",5,""
"2927",6,"it is overrated, only mac users/developers need it"
"2928",NA,""
"2929",6,""
"2930",4,"OS-X and Linux are fine - Windows (with which I did not have so much experience yet) made me some headache."
"2931",5,"CPAN doesn't integrate too well with package managers."
"2932",NA,""
"2933",6,""
"2934",6,""
"2935",NA,""
"2936",4,"Biggest headache for me is deployment of code to different platforms"
"2937",NA,""
"2938",1,""
"2939",NA,""
"2940",2,""
"2941",NA,""
"2942",7,"Works very well"
"2943",1,""
"2944",NA,""
"2945",NA,""
"2946",3,""
"2947",7,""
"2948",NA,""
"2949",5,""
"2950",1,""
"2951",6,""
"2952",1,""
"2953",6,"I don't write or maintain cross applications but I have ported Perl applications across platforms.  As far as cross platform applications are to port or maintain, Perl lies between Java and C/C++.  When I did port applications they required a minimal amount of updating.  But that speaks more to the skill of the programmer than the language."
"2954",7,"It has gotten quite better since I started using perl.  "
"2955",6,""
"2956",7,""
"2957",NA,""
"2958",NA,""
"2959",NA,""
"2960",6,""
"2961",NA,""
"2962",NA,""
"2963",NA,""
"2964",NA,""
"2965",7,""
"2966",6,""
"2967",6,""
"2968",3,"Most useful libraries tend to have binary dependencies. The libraries are often available although sometimes"
"2969",6,""
"2970",5,"If tests fail I usually assume a config issue on the server rather than a bug that needs to be reported.[CR][CR]Strawberry Perl has taken the pain out of installations on windows (although I still hit more issues on windows than on linux)"
"2971",NA,""
"2972",NA,""
"2973",NA,""
"2974",NA,""
"2975",NA,""
"2976",7,""
"2977",1,""
"2978",5,""
"2979",NA,""
"2980",1,"All Linux, all the time."
"2981",6,""
"2982",6,"Make things as easy for yourself as possible. Use Path::Class for path/filename manipulations will save pain. Strawberry took a lot of the pain out of the toolchain!"
"2983",2,""
"2984",1,""
"2985",NA,""
"2986",NA,""
"2987",NA,""
"2988",5,"Organization's use of Win32::Semaphore and Win32::Process makes that more difficult than it should be."
"2989",4,""
"2990",6,"Once you get it, it is easy"
"2991",6,""
"2992",5,""
"2993",NA,""
"2994",1,""
"2995",5,""
"2996",3,"No problems so long as modules don't use compiled code, in which case porting can be a nightmare (looking at you, GD::Graph)"
"2997",1,""
"2998",6,""
"2999",6,""
"3000",NA,""
"3001",NA,""
"3002",NA,""
"3003",7,"One of the nicer features of Perl, it just works. Well, except for some child processing and forking stuff, but since POE accepted my patches for Windows, that is less of a problem these days."
"3004",NA,""
"3005",NA,""
"3006",NA,""
"3007",NA,""
"3008",6,""
"3009",6,"We routinely deploy on freebsd, solaris, windows and linux, and actually deploy our own version of perl (a'la Strawberry) which includes all of the CPAN modules we require as well as those inhouse modules (with xs bindings). It's a breeze."
"3010",NA,""
"3011",5,""
"3012",1,""
"3013",NA,""
"3014",5,""
"3015",6,""
"3016",NA,""
"3017",6,""
"3018",6,""
"3019",6,""
"3020",NA,""
"3021",4,""
"3022",5,"Don't do much of it."
"3023",NA,""
"3024",5,""
"3025",3,"Perl / CPAN on OS X doesn't seem to work as well as perl/cpan on Linux. I found that with Tiger/Leopard, not sure if the issue is resolved with Snow Leopard"
"3026",NA,""
"3027",1,""
"3028",6,""
"3029",4,""
"3030",3,""
"3031",3,"Focusing on Apache2 dev on LInux these days.  Have assumed pre-fork for programming model, might rule out Windows Apache."
"3032",NA,""
"3033",1,""
"3034",4,""
"3035",NA,""
"3036",6,""
"3037",6,"Minimize the use of the system or exec commands.  "
"3038",5,""
"3039",NA,""
"3040",1,"Never wanted to try.  Never needed to try."
"3041",6,""
"3042",NA,""
"3043",6,""
"3044",1,"I hear good things about Strawberry -- something similar should be done for Mac: most Mac+Perl users I know have incredibly horrible Perl installations."
"3045",1,""
"3046",6,"Most times it works fine, but some CPAN modules can be a PITA to get them running under a different OS."
"3047",1,""
"3048",4,""
"3049",1,""
"3050",1,""
"3051",1,""
"3052",6,"Thanks to the compiler developers for maintaining and testing perl."
"3053",1,""
"3054",NA,""
"3055",6,""
"3056",NA,""
"3057",NA,""
"3058",3,"'system perl library' paths are problematic.  It would be a lot easier if there were better instructions on things like local::lib and deploying your own perl interpreter."
"3059",6,""
"3060",NA,""
"3061",7,"most of my work is light and x-platform"
"3062",4,""
"3063",5,""
"3064",6,""
"3065",NA,""
"3066",NA,""
"3067",6,""
"3068",1,"That is not something I normally have to deal with.  When I have though I let CPAN testing site tell me what went wrong."
"3069",6,""
"3070",NA,""
"3071",5,"I don't believe its nessecary that a package runs cross platform, but it should be acknowledged what its designed to work with. Perl testers doesn't satisfy this as tests (or lack thereof) can pass where the module will fail. This is a question of design intention, and that stepping outside of that design invites potential trouble."
"3072",6,"3"
"3073",5,""
"3074",6,""
"3075",NA,""
"3076",6,""
"3077",5,""
"3078",1,"I use Perl only on Solaris and Linux platforms. On Windows I use either Python (because of the Python for Windows environment) or Jscript/VBScript to play well with cscript.exe."
"3079",6,""
"3080",1,""
"3081",NA,""
"3082",NA,""
"3083",NA,""
"3084",NA,""
"3085",1,""
"3086",6,""
"3087",4,""
"3088",1,""
"3089",NA,""
"3090",NA,""
"3091",1,""
"3092",7,"almost platform independent."
"3093",6,""
"3094",NA,""
"3095",6,""
"3096",NA,""
"3097",NA,""
"3098",1,""
"3099",4,""
"3100",6,""
"3101",1,""
"3102",NA,""
"3103",5,""
"3104",1,""
"3105",NA,""
"3106",NA,""
"3107",NA,""
"3108",6,""
"3109",5,"Don't we all love windows..."
"3110",NA,""
"3111",4,""
"3112",6,""
"3113",1,""
"3114",6,""
"3115",5,"Perl itself is normally quite good. It's often cygwin that gets in my way."
"3116",6,""
"3117",NA,""
"3118",5,"good work on Strawberry perl"
"3119",NA,""
"3120",NA,""
"3121",4,"Any of the unix OSs work just fine. I don't use Perl on windows very often."
"3122",2,""
"3123",6,""
"3124",5,"I am still working on making my applications less Unix-specific."
"3125",5,""
"3126",6,"perl is great, except on windows, but everything else sucks on windows anyways."
"3127",6,"Hard to deal with unicode files names in Windows."
"3128",NA,""
"3129",NA,""
"3130",6,"I don't do much of it."
"3131",6,""
"3132",NA,""
"3133",6,""
"3134",NA,""
"3135",4,""
"3136",4,"packaging should become better"
"3137",6,""
"3138",NA,""
"3139",5,""
"3140",NA,""
"3141",6,""
"3142",6,""
"3143",5,""
"3144",1,""
"3145",4,""
"3146",NA,""
"3147",7,""
"3148",4,"We need better support for local CPAN installs and sand-boxed installs of perl modules vs CPAN defaults to global install / user install -- this makes it hard to just take a module / script dir and install it some where else, because you cant also take (easily) it's CPAN module dependencies.  Outside of cpan modules needed, basic perl support cross-platform is WONDERFULLY supported.  But remember, CPAN is the language (thank you Devel::Declare)..."
"3149",6,""
"3150",NA,""
"3151",3,"That's hard as many CPAN modules are not multiplatform."
"3152",4,""
"3153",1,""
"3154",NA,""
"3155",5,""
"3156",NA,""
"3157",1,"Did active perl a few years back, was a bit annoying for lack of libraries I like using in linux."
"3158",6,""
"3159",NA,""
"3160",5,"Strawberry Perl with cpan is big step over ActiveState.  Still get caught out far too much on silly file naming conventions."
"3161",NA,""
"3162",NA,""
"3163",NA,""
"3164",NA,""
"3165",1,""
"3166",1,""
"3167",NA,""
"3168",6,""
"3169",NA,""
"3170",3,"Until you try to do a fork it's great. Threading in Perl SUCKS on Windows, and forking works just about as well, so there is usually a large amount of rewriting in those cases."
"3171",5,"I never have much problem on unix variants.  When I did windows Perl programming, it never really felt ""natural"""
"3172",NA,""
"3173",NA,""
"3174",5,""
"3175",NA,""
"3176",2,"Threads are not portable nor easy. Perl assumes you're a Unix programmer a lot. We need to generalize interfaces a bit :)"
"3177",4,""
"3178",NA,""
"3179",1,""
"3180",4,"Needed better unicode support for windows, especially for console programs. Needed better handling of locale encodings in windows. Needed some layer of abstraction to async programming (timers, run code with some intervals, interrupting code for some time and e.t.c. maybe something like in JS), no signals (or there must be alternative) to my mind it's ugly. Needed regexps with ansi locale support (/i modifier e.t.c.). Needed ""data dumping"" internal command. It's not clear how to contact with developers. And much more =("
"3181",6,""
"3182",1,""
"3183",6,""
"3184",6,""
"3185",NA,""
"3186",5,""
"3187",7,"besides a few minor issues here and there, perl is best cross platform language out there.  I have code written in perl that I run in production environment of a fortune 500 company that runs on windows, linux, solaris, and custom unix.  All the same code with almost no ""if on platform # do else do "" type coding.  And it runs great on all platforms."
"3188",2,""
"3189",5,""
"3190",6,""
"3191",NA,""
"3192",6,""
"3193",6,""
"3194",1,""
"3195",5,""
"3196",4,""
"3197",NA,""
"3198",NA,""
"3199",7,""
"3200",5,"It had issues with MS Windows implementation of fork and signals. It was quite trivial on Linux/Unix to create the program that reads asynchronous stream and handles/parses/presents it, but to do the same on MS Windows I had to sweat a lot."
"3201",1,""
"3202",1,""
"3203",5,"Nice for little scripts, not so great for big, specialized projects."
"3204",6,"Strength!"
"3205",6,""
"3206",6,""
"3207",NA,""
"3208",7,""
"3209",4,""
"3210",6,""
"3211",NA,""
"3212",NA,""
"3213",2,"That is real fun ;-)"
"3214",7,""
"3215",NA,""
"3216",NA,""
"3217",7,""
"3218",6,""
"3219",NA,""
"3220",NA,""
"3221",5,""
"3222",1,"I never program perl in Windows. I will use something like WinSCP if I need to use a windows editor, or just use putty to ssh into a Linux environment."
"3223",NA,""
"3224",NA,""
"3225",6,""
"3226",4,"Wouldn't it be wonderful to have a good threading model?"
"3227",NA,""
"3228",NA,""
"3229",NA,""
"3230",5,""
"3231",6,"Portability is very good. That an accomplishment for a lang that is not afraid to leverage the system api, unlike java.  I can leverage all that unix provides and be confident that there is a good chance its going to port."
"3232",5,""
"3233",NA,""
"3234",NA,""
"3235",5,""
"3236",5,"problems with ActiveState 8.10 (no Gtk, ImageMagic Builds need no more available AS binaries...)[CR]when separate system perl (package system controlled) from dev perl (manually installed, using CPAN) its fine, but costs strict discipline[CR]Tk works fine[CR]strawberry rulz[CR]"
"3237",5,"Generally pretty good, no real complaints."
"3238",6,""
"3239",NA,""
"3240",1,""
"3241",NA,""
"3242",7,"very easy :)"
"3243",5,""
"3244",5,""
"3245",6,""
"3246",5,""
"3247",1,""
"3248",NA,""
"3249",6,""
"3250",6,"(some of the select choices for this survey do not appear to work for the iPhone. For example, operating systems -- mac and ubuntu for me -- and editor/IDE -- emacs for me. ) "
"3251",3,""
"3252",7,"As stated in the manual, perl itself is fundamentally portable--it's when one wants to interact with system resources (filesystems, sockets, etc.) that the Ivory Tower starts to erode. "
"3253",5,"perl is fairly good for cross platform programming, if you avoid platform-specific things such as shell escapes, literal '/' to join pathnames, etc."
"3254",NA,""
"3255",NA,""
"3256",6,""
"3257",6,"windows sucks"
"3258",5,"There are some snags, but it works fine most of the time.  Often enough to be less of an issue."
"3259",NA,""
"3260",6,""
"3261",1,""
"3262",5,""
"3263",6,""
"3264",1,""
"3265",5,""
"3266",1,""
"3267",3,"Sometimes ist takes days to get it fixed on other plattforms :-("
"3268",6,""
"3269",6,""
"3270",NA,""
"3271",NA,""
"3272",NA,""
"3273",5,""
"3274",NA,""
"3275",5,""
"3276",6,""
"3277",7,""
"3278",6,""
"3279",4,""
"3280",1,""
"3281",5,"I haven't done much cross platform Perl, but as long as modules are available for both platforms the code tends to be rather portable."
"3282",NA,""
"3283",NA,""
"3284",5,"[CR]"
"3285",6,""
"3286",NA,""
"3287",5,""
"3288",NA,""
"3289",3,"Tough luck, doesn't work most times."
"3290",1,"Basically never tried it."
"3291",NA,""
"3292",NA,""
"3293",1,"I don't do any"
"3294",NA,""
"3295",1,""
"3296",NA,""
"3297",6,"is easy if you setup your env carefully, not easy if you just use the perl that comes with the box"
"3298",6,""
"3299",6,""
"3300",NA,""
"3301",2,"Windows Perl is so hard to deal with, threading, files, etc"
"3302",6,""
"3303",6,""
"3304",NA,""
"3305",5,""
"3306",6,""
"3307",7,""
"3308",5,"Most of my cross-platform programming involves using some module, probably networking-related like DBI. If the module works, my code will work. I don't have any particularly unix habits in my programming style."
"3309",4,""
"3310",6,""
"3311",6,""
"3312",NA,""
"3313",4,"a noble feature"
"3314",NA,""
"3315",5,"It all depends on how complex the program is, and how platform specific the application is.  An app that calls a lot of Win32 system calls for example, would be very difficult to code to be cross-platform.  I don't even try, as a rule.  I write for the target platform."
"3316",5,""
"3317",NA,""
"3318",NA,""
"3319",NA,""
"3320",NA,""
"3321",1,"I don't do it."
"3322",6,"Windows is sometimes problematic for various reason."
"3323",6,"Suprisingly good compliance (comparable or better than Java!)"
"3324",1,""
"3325",NA,""
"3326",7,"In general works fairly well, but has some issues."
"3327",NA,""
"3328",6,""
"3329",5,""
"3330",NA,""
"3331",1,""
"3332",6,"Always try to write code for multi-platform use."
"3333",NA,""
"3334",NA,""
"3335",5,"Strawberry perl and variants is a linchpin in cross-platform perl programming."
"3336",1,""
"3337",NA,""
"3338",5,""
"3339",NA,""
"3340",NA,""
"3341",6,""
"3342",7,""
"3343",NA,""
"3344",NA,""
"3345",6,""
"3346",3,""
"3347",7,""
"3348",6,""
"3349",6,""
"3350",NA,""
"3351",3,"Anyone who does this could waste less time doing it another way."
"3352",1,""
"3353",6,""
"3354",NA,""
"3355",6,"I haven't had any problems with it, but if I'm going cross platform I'm more likely to use Python or Java."
"3356",1,""
"3357",NA,""
"3358",4,""
"3359",NA,""
"3360",NA,""
"3361",4,"I've never had to work on stuff that needs to run on Windows. My little experience of using Perl on Windows was a bit painful"
"3362",6,"It's easier if you knew up front that you might need to do it.  Conversely, when you use platform-specific stuff you're stuck there.  Pays yer money, takes yer choice."
"3363",NA,""
"3364",7,"It's amazing how well it works."
"3365",3,"Gets hard once the code reaches a certain complexity."
"3366",6,"only as long there is no OS specific code (networking, filesystem, GUI)"
"3367",NA,""
"3368",7,""
"3369",NA,""
"3370",1,""
"3371",1,""
"3372",6,""
"3373",5,"I really love perl programming on linux.  Not so much fun on windows as I don't have enough time and inclination to figure out the activestate mumbo jumbo for getting the right packages installed."
"3374",5,"It really depends upon the program's dependencies. There are times where a dependency does not exist on the Microsoft platform, outside of installing Cygwin. This I will not do simply to run a program, nor do I expect general users to perform also."
"3375",NA,""
"3376",NA,""
"3377",6,"It's much harder than in e.g. Python because we don't have any batteries included. If you want to write portable Perl you often have to resort to hacks that you wouldn't have to in Python, e.g. shelling out to OS utilities."
"3378",6,"Wx is the key"
"3379",1,""
"3380",4,"Serial port handling across platforms is awful."
"3381",NA,""
"3382",NA,""
"3383",4,""
"3384",6,"it is a good thing"
"3385",6,""
"3386",NA,""
"3387",6,""
"3388",NA,""
"3389",5,"code that only depends on the Perl core, and is written with portability in mind, is easy; badly-written code is hard; code that depends on external libraries is near-impossible"
"3390",6,"easy"
"3391",NA,""
"3392",NA,""
"3393",6,""
"3394",6,"I learnt perl because it ran on linux and windows.  To me it's very important."
"3395",4,"I have almost no experience with this.  I occasionally try to get some perl running on a windows machine for one-off stuff under cygwin shell, but most all of my coding for fun or profit is on linux. (debian, ubuntu, and centos)"
"3396",5,""
"3397",NA,""
"3398",7,""
"3399",6,""
"3400",5,"I've run into a host (iBiblio) that, at least at one point, didn't have flock running on their BSD server; it would have been very difficult to code around that.  This was several years ago; I don't know if it would still be true."
"3401",NA,""
"3402",7,"The hardest part about getting things to run cross-platform is getting in contact with CPAN authors, even when you have ready-made patches."
"3403",NA,""
"3404",4,"Works fine across Unices (including Mac OS X), but not so fine with Windows."
"3405",1,""
"3406",NA,""
"3407",NA,""
"3408",4,""
"3409",1,"Not enough experience. 99.9% linux, never multiple."
"3410",5,""
"3411",6,""
"3412",2,"If it's not Unix-like, it won't work. Of course, that's true even without talking about perl."
"3413",4,""
"3414",3,""
"3415",NA,""
"3416",1,"I try to stay on *nix for my programming."
"3417",1,""
"3418",5,""
"3419",6,"as long as its unix everything is fine"
"3420",1,""
"3421",6,""
"3422",NA,""
"3423",6,""
"3424",NA,""
"3425",NA,""
"3426",6,"glad it works as well as it does."
"3427",NA,""
"3428",6,""
"3429",6,"I do not use CPAN"
"3430",5,"it's easy to get it 90% right, but the last bit can be tricky"
"3431",NA,""
"3432",6,""
"3433",6,""
"3434",NA,""
"3435",6,""
"3436",1,""
"3437",6,""
"3438",1,""
"3439",6,""
"3440",5,""
"3441",6,"It's not too difficult as long as the programmer is aware."
"3442",6,"It's awesome."
"3443",3,"Perl itself works fairly well, but not all CPAN modules will install cleaning on other platforms."
"3444",NA,""
"3445",6,""
"3446",NA,""
"3447",NA,""
"3448",6,""
"3449",NA,""
"3450",5,""
"3451",NA,""
"3452",1,""
"3453",6,""
"3454",5,""
"3455",6,"Sometimes, I wish path handling and OS-tasks were first class, built in functions that were encouraged in basic tutorials, so I didn't have to constantly fix applications when moving across platforms."
"3456",NA,""
"3457",5,""
"3458",4,""
"3459",5,""
"3460",4,"Perl makes it mercifully easy to do."
"3461",NA,""
"3462",6,""
"3463",6,""
"3464",NA,""
"3465",NA,""
"3466",7,""
"3467",6,"File::Spec is quite helpful."
"3468",1,""
"3469",7,""
"3470",NA,""
"3471",5,""
"3472",6,""
"3473",5,""
"3474",NA,""
"3475",4,""
"3476",6,""
"3477",NA,""
"3478",NA,""
"3479",1,""
"3480",NA,""
"3481",6,"I wish vendors like HP, IBM put newer versions of Perl on their Unix'es"
"3482",1,""
"3483",NA,""
"3484",NA,""
"3485",5,""
"3486",6,""
"3487",5,"depends on the quality of the programmer!"
"3488",4,""
"3489",6,"greap portability"
"3490",NA,""
"3491",7,""
"3492",5,""
"3493",NA,""
"3494",NA,""
"3495",NA,""
"3496",NA,""
"3497",7,"Perl is extremely cross-platform.  In my experience, much easier to deploy on languages designed for cross-platform deployment than Java."
"3498",NA,""
"3499",NA,""
"3500",NA,""
"3501",NA,""
"3502",NA,""
"3503",3,""
"3504",NA,""
"3505",NA,""
"3506",6,"I have somewhat limited experience with this, but I did develop applications on my Macbook but deployed and used in Linux environments."
"3507",2,"I don't do much, but I still haven't got Padre running on Mac OS X Snow Leopard."
"3508",6,""
"3509",5,""
"3510",6,""
"3511",6,""
"3512",NA,""
"3513",NA,""
"3514",NA,""
"3515",1,""
"3516",1,""
"3517",5,""
"3518",NA,""
"3519",6,""
"3520",NA,""
"3521",6,""
"3522",3,"I've spent days trying to get things working between Windows and unix.  Mainly related to fork() handling, or lack thereof.  It's not Perl's fault, of course."
"3523",1,""
"3524",6,"I don't usually care about Windows as a platform, but my one foray into programming for the general public (tkrow.sourceforge.net) resulted in my switching to Python because it includes a GUI toolkit, whereas Perl does not."
"3525",NA,""
"3526",6,"Most of those feel more like ""never/always"" questions than ""agree/disagree"" ones. I filled them in as such, anyway.[CR][CR]The most frequent failing tests I've gone through the hassle of debugging were locale-unawareness.[CR]"
"3527",6,""
"3528",6,"Generally very straightforward. Package management is the hardest problem."
"3529",NA,""
"3530",4,""
"3531",NA,""
"3532",5,""
"3533",NA,""
"3534",NA,""
"3535",6,"usually works pretty well, and is getting better with strawberry perl etc"
"3536",5,""
"3537",7,"Strawberry is brilliant."
"3538",NA,""
"3539",6,""
"3540",NA,""
"3541",1,""
"3542",3,""
"3543",7,"It's unbelievably easy.  It's the biggest reason we've stuck with Perl for so long."
"3544",NA,""
"3545",6,"Cross platform on Unix-ish environment is usually not a problem.[CR][CR]Unix to windows can be a bit of a pain."
"3546",NA,""
"3547",5,""
"3548",5,"Generally I only run stuff under Ubuntu and OS X.  This works for me because I install a custom local Perl on my Mac.  Otherwise, it's a pain."
"3549",6,""
"3550",7,""
"3551",1,"I access my perl scripts over smb, works pretty well :3"
"3552",NA,""
"3553",6,""
"3554",4,""
"3555",NA,""
"3556",NA,""
"3557",NA,""
"3558",5,"thank God for Adam Kennedy & Reini Urban"
"3559",NA,""
"3560",2,"We are a shop split between linux and win32.  The win32 stuff generally isn't a problem but there are a surprising amount of modules out there that do silly things to preclude usage on windows; like doing `rm foo` etc."
"3561",5,""
"3562",7,""
"3563",6,"very fine, is definitly needed"
"3564",6,"Perl programs which need hook into other systems tend to use system(), which obviously limits portability."
"3565",NA,""
"3566",6,""
"3567",6,""
"3568",4,"disk paths will kill you, and it's not Perl's fault."
"3569",NA,""
"3570",NA,""
"3571",NA,""
"3572",1,""
"3573",NA,""
"3574",5,"Ruby to the rescue."
"3575",2,"All the code we write at work runs on Linux and Mac OS X as the developers are free to choose which they use. In that respect cross platform perl programming has been easy.[CR][CR]However we use a lot of UNIX-y ""stuff"" like forking, symlinks, etc, so I doubt that the code would run on Windows successfully."
"3576",NA,""
"3577",5,""
"3578",NA,""
"3579",6,""
"3580",6,""
"3581",6,"There are minor changes we've had to make to convert between platforms, but nothing big."
"3582",4,""
"3583",NA,""
"3584",NA,""
"3585",3,"Frankly, PERL has built in so many UNIXisms that it is hopeless to expect just any module to work. Thanks to those contributors who test on Windows and other platforms, especially Mac; but it is a challenge to get most CPAN projects running on VMS. This should improve with the next major release of VMS this summer, but it will still be challenging. Again, thanks to anyone who has helped to get Perl CPAN modules running on VMS; appreciated."
"3586",7,"Since Strawberry Perl became mature (and relocatable) windows is much easier to work with, even in locked down environments."
"3587",NA,""
"3588",5,""
"3589",4,""
"3590",5,""
"3591",NA,""
"3592",6,"Management feels target users are uncomfortable enough with a command line, never mind installing modules, so I am often asked to write within the capacities provided by core modules (or at least ActiveState).[CR][CR]Have had trouble with ActivePerl -- UTF-16 encoder broken."
"3593",1,""
"3594",NA,""
"3595",7,"Generally easy. For GUIs, tcl/tk is getting long in the tooth, but there's also WxWidget."
"3596",6,""
"3597",5,""
"3598",6,"I've had minimal experience but the few times I've had multiple platforms involved, the programs worked similarly and without issues."
"3599",6,""
"3600",NA,""
"3601",6,"Perl on Windows sucks."
"3602",6,""
"3603",5,""
"3604",NA,""
"3605",6,""
"3606",1,""
"3607",1,""
"3608",NA,""
"3609",NA,""
"3610",6,""
"3611",5,""
"3612",NA,""
"3613",NA,""
