"","perl_best_thing","perl_frustrates_most","describe_perl"
"4127","CPAN","to manage dependencies for Catalyst","swiss army chainsaw"
"4128","The data access + regexp support[CR]The CPAN[CR]The good books","When I read my programs some months after sometimes...It is hard[CR]When I start again programming Perl, I have 1/2 day to get again abilities in the language","I both love and hate Perl -- sometimes."
"4129","Its flexibility and that you can do stuff with it others have yet to invent buzzwords for","Perl 6 and its delays. I'm surrounded by Java programmers; we're heading for Groovy now. It's on JVM and is kinda nice: It sometimes feels like Perl.[CR]","Yes, you CAN! (shoot in your feet) - darn, SIX!"
"4130","It works.  The core has is sometimes messy, but is well thought out and coherent.","Cryptic error messages caused by syntax errors. ","get it done"
"4131","I can write C in perl :-)","I've seen a lot of perl programmers doing wild, obfuscating and bizzare things","available, powerful"
"4132","you can do anything","People do it in a million ways (stick to the best practices)",""
"4133","Its flexibility which allows me to express the problem in the way I want it to be.","The bad reputation which makes it hard to sell perl development to customers","fast flexible mature "
"4134","The Perl community","The freedom. Sometimes I would like the language to enforce a few more things (particularly the object model).","fun friendly powerful extensible everywhere"
"4135","The natural language style syntax that allows us to express our thoughts in a free flow without having to think like a machine. [CR]","Too much DWIMmery without the programmer explicitly asking for it. For eg., it would have been much better, IMHO, if autovivification needed some small syntactical nod from the programmer instead of being the default. That has lead to bugs going undetected for years in some code I've seen. [CR]In general, not catering much to mere mortals (which ironically was Larry's complaint about Lisp), in the sense that too much power is the default. use strict and warnings should have been on by default for scripts, and off for -e execution (which IIRC is the way Perl 6 does it).","powerful, concise, expressive, superficially ugly"
"4136","","",""
"4137","CPAN, hands down.","Editors, profilers and other tools don't have syntactic support for modern perl usage such as MooseX::Declare; as a result, I have a choice between a clean OO syntax or good machine support; I can't have both!","Modern evolving community-led programming language"
"4138","CPAN","CPAN","CPAN"
"4139","","",""
"4140","CPAN.  Although best practices / premier modules are not emphasized; programmers are left to discover them on their own.","Perl 6 fracturing the community.","perl needs better advocates"
"4141","","",""
"4142","CPAN, flexible syntax","Lack of promotion, allowing PHP to become popular.","What I'd rather be coding"
"4143","sempre ha uma maneira diferente de fazer","Perl Ž uma linguagem de programa‹o, mongens s‹o pessoas superiores dispostas a ajudar os iniciantes e n‹o a humilhar.","Perl Ž como andar de bicicleta. Faz muito bem"
"4144","","",""
"4145","","",""
"4146","The CPAN: DBI, POE, DateTime, etc","The dereferencement syntax, but it's way too late to fix it now.","Perl, it works."
"4147","Cpan","Integration with C libs","flexible oo functional"
"4148","","",""
"4149","I'm a native speaker.","low support for embedded devices.  (Mini-perl is cool and all, but it's hard to get working on some platforms due to dependencies which aren't available...)","It Does What I Mean"
"4150","","",""
"4151","","",""
"4152","I can get something done and If I need more speed there is usually another option","I can't keep all the syntax in my head","Swiss army chainsaw"
"4153","simple, easy to use, excellent library and module collecton","$","pure un-complicated tool for expressing programs"
"4154","","",""
"4155","","",""
"4156","TMTOWTDI","chromatic","gets the job done"
"4157","Ability to handle strings easily and powerfully","It's rather slow","a Swiss Army knife"
"4158","","",""
"4159","Its fast to get a result","Nothing, perl is perfect to me.","Fast, easy, robust"
"4160","I know it.","installing perl apps / libraries","works for me"
"4161","It's simple to learn and to use.","","good and fast-learning language"
"4162","it's quick and easy to get something working.","it's not respected in the Software industry.","the programming language that can do anything."
"4163","","",""
"4164","the code base of functionality (CPAN) and it's interoperability between OSs","finding and deciding upon the right CPAN module. ",""
"4165","TMTOWTDI","Typing punctuation","Powerful but ugly"
"4166","","",""
"4167","code brevity","",""
"4168","CPAN","CPAN - variability of code, and getting consistent versions across machines","Flexible, Featureful, Fascinating"
"4169","Perl-people use real language with real sentences in books, articels, etc.[CR]It ist a joy to read. It is the Perl-Culture, that stands out.[CR]That improved my way of programming and computing in any language.[CR][CR]The clearest solution runs best.[CR]","There is no easy beginners and novice-access to modern perl, including Moose.[CR]What I am missing is a alternate Intermediate Perl-Book.[CR]","Not Camel - more Chanel, always fresh."
"4170","It's fun","Switching encoding systems. Every time I have to deal with more than one it feels like I don't know where to start, and make the same mistakes over and over again.","use strict or die $!;"
"4171","flexibility and the group of people it attracts","the lack of a strong pr push","dynamic fun terse extensible yay"
"4172","introspection","nested subs are horribly counter-intuitive","Perl lets you start... and finish a project"
"4173","it is very close to bash","syntax sometimes not very intuitive","scripting language close to bash"
"4174","","the syntax",""
"4175","Powerful one-liners","obfuscated code","omg wtf?"
"4176","","",""
"4177","","",""
"4178","It's syntax","Nothing","pwnage ballin elite awesome ftw"
"4179","scales well, excellent for writing complex parsers","easily written very badly. too much syntactic noise.","tildas slashes semi-colons"
"4180","Cpan","Non-English keywords and implicit variables.","Perl is wacky but productive"
"4181","","",""
"4182","It's free as in doesn't cost any money.[CR]It's great for all things linux","Backwards compability. Update one module, break them all.[CR]Combine this with little to none accountability for CPAN package commiters, and you have a jolly good time.","hack hack hack hack hack"
"4183","quick and easy development","",""
"4184","","",""
"4185","Hackability","Bad object system","A kludge that does the job."
"4186","","",""
"4187","","",""
"4188","It's linguistic syntax.","The bad integration into Linux distributions and it's stone-old ./Configure mechanismn.",""
"4189","It's quick and easy to get things done with it.","It's gotten a bad reputation for maintainability.","it does what I want"
"4190","Its ease to integrate with C++ packages and the wide variety of available CPAN modules ","It's non-coherent syntax and it's disability to add language constructs ","Programmers Easy Robust Language ;)"
"4191","","",""
"4192","","",""
"4193","there always seems to be some module that solves a problem already created","type setting... like being able to define a variable as a string or integer and then Perl getting confused on what the value is","Perl is like glue"
"4194","how much you can accomplish with a single $ perl -e '...' command at the shell.","how hard it can be to discover features that are huge time-savers if/when you ever learn about them.","duct tape and baling wire"
"4195","Quick to write","Theres too many ways to do it / format it and its too forgiving without 'strict'","fast efficient easy "
"4196","flexibility","lack of enforced standards","Quick n' easy"
"4197","CPAN.","Exception handling, despite CPAN efforts, seems generally shite.",""
"4198","Always there, always works, has something for everyone.","The mindset of it's death.","My foundation"
"4199","You can write elegant, simple and useful codes","It seems everybody likes to ignore perl.","solid, fun, cpan"
"4200","It is optimized for every programmer","It has terrible PR and the hurdle of programmer optimization makes it an undesirable investment for many.","The Get Shit Done Language."
"4201","","",""
"4202","CPAN","its ability to resemble line noise in the hands of careless programmers","concise and powerful"
"4203","that it is easy to get things done.","dependencies in CPAN modules - ok, not really a language issue. ",""
"4204","CPAN","deployment issues","swiss army chainsaw"
"4205","Expressiveness, flexibility and even legibility (well written Perl is the most legible programming language, though an experienced programmer is required).","Sometimes lack of documentation.","Flexible, powerful, legible, scalable, loved"
"4206","","",""
"4207","it comes with solaris","reading other people's perl. too many ways to do it.",""
"4208","many modules to everything","Maintaining it across different installations.[CR]Compatibility of modules across platforms and installations.[CR]compiling modules.",""
"4209","The best thing about Perl is its flexibility. If a problem only warrants a quick script, Perl can handle it. If the problem fits an OO model, use Perl's OO features.  If not, don't.","Its flexibility.  Sometimes there are too many choices and too little guidance on best practices, current practice, etc.  E.g. CPAN may have 200 modules related to a problem domain, but most are unmaintained or too limited or obsolete.","Perl is the right tool, if you know how to use it."
"4210","cpan","",""
"4211","","",""
"4212","Flexibility.","Somewhat difficult to call libraries in other languages.",""
"4213","","",""
"4214","its flexibility in allowing you to solve problems how you want rather than forcing you into a rigid model","it's reputation for being difficult to maintain","flexible, powerful, fast"
"4215","TMTOWTDI","Small community","TMTOWTDI"
"4216","","",""
"4217","It makes programming fun.","Sometimes it's really hard to read code.","fun tool for initiates"
"4218","","","cool, scalable, and fast with XS"
"4219","","",""
"4220","Very powerfull","The syntax is sometimes very cryptic. It allows programmers to produce unreadeable/unmaintainable/very hard to understand code.[CR]",""
"4221","CPAN and the large number of pre-invented wheels within","Not knowing where the solution is.",""
"4222","I get a lot done quickly in perl. Good text processing features (like built-in regex).","Not convenient for larger projects. I don't do anything larger than a couple of subroutines in perl. Using CPAN modules is too difficult. ",""
"4223","CPAN.","",""
"4224","concise language","nothing.","*The* post-modern language"
"4225","","",""
"4226","","",""
"4227","","",""
"4228","it is everywhere and has solutions/modules for (almost) everything","dependency hell: there is always a dependency that wont pass tests on at least one platform. UTF-8 handling","still very good but aging"
"4229","","",""
"4230","","",""
"4231","","",""
"4232","","",""
"4233","expressive power, cpan","sub argument syntax","powerfull, extensible"
"4234","","",""
"4235","","",""
"4236","","",""
"4237","long term proofed","bad reputation in marketing & sales","slim & fast"
"4238","Very dynamic syntax","Lack of IPv6 and TLS in the core distribution","Pathologically Eclectic Rubbish Lister"
"4239","Portability and backward comparability. I still have Perl programs written in 1997 running on Perl 5.8. You can't say that about most languages.","lack of marketing. ","flexible, multi-purpose, adaptive, effective"
"4240","CPAN","Lack of visibility","powerfull, easy, flexible"
"4241","CPAN and the modules available on CPAN","The lack of quality control/restrictions of/on some CPAN modules","Flexible"
"4242","rapid development, scalability, CPAN.","regular expressions...",""
"4243","Ease of use. Can write complicated programs quickly.","","powerful easy objects cpan fast"
"4244","portability","",""
"4245","Ease of complex data manipulation.","The culture around it that rewards tricky and obscure code.","Perl talks to everyone."
"4246","it's fun, it's design is outside the box in a good way, it thinks like I think.","all the companies that will never upgrade past 5.8.x and all the old-school perl developers whose brains and perl methodology seems to be stuck in the 1998-2002 era.","I can't wait for production quality Perl 6!!"
"4247","the ease with which it allows repetitive, mundane tasks to be automated.","",""
"4248","Very flexible. Lots of free modules. Good documentation.","No good debugger for mod_perl. Not enough article about the new features in perl 5.10 and 5.12. The new logo for perl 6 is ridiculous. Missing a build in object features in the core language. Bless works but it is a hack regardless. Parrot is too long in the making","Flexible   feature-rich "
"4249","You can do just about anything.","The legacy of the assumptions baked deeply into early versions of perl hangs like a millstone around its neck.","powerful but full of cruft."
"4250","flexibility (TMTOWTDI) - I can decide the best way to implement something instead of being forced in a specific direction.  perl doesn't put up any boundaries or barriers.","The pitiful support for SOAP.  I dislike SOAP, but am sometimes forced to use it to inter-operate with external systems and it is always painful.","flexible, concise, free"
"4251","Small problems can be solved quickly","Can lend to bad habits in difficult to read code.","Golf"
"4252","","",""
"4253","0) PCRE[CR]1) man pages[CR]2) it's gonna die","not dead yet","why did I learn it? :("
"4254","freedom","too many magics","good enough"
"4255","","",""
"4256","","",""
"4257","","",""
"4258","CPAN","It's too easy to create messy code that works for now but then never gets touched again.","Swiss Army Knife "
"4259","enables the rapid development of sophisticated, robust software","the emphasis by some on the most terse, 'elegant' solution over the more verbose, maintainable, understandable solution.","Missing middle between the simple and the complex"
"4260","It is fun to use.","Negative perception of others.","fun to use dynamic language"
"4261","","",""
"4262","","",""
"4263","that it's free","that many perl programmers spend so much time emphasizing that it's alive","concise, natural, powerful, expressive"
"4264","","",""
"4265","","",""
"4266","it's everywhere (+CPAN)","","powerful, CPAN, extensible, unique"
"4267","","",""
"4268","It lets me do what I want the way that I want.","That I don't write enough in it.",""
"4269","","",""
"4270","Rapid development, with the ability to be more strict.","The fact that people don't start off writing satrict perl.","Dangerous but fun"
"4271","","",""
"4272","","",""
"4273","CPAN","Lack of proper garbage collection, which is causing me massive headaches right now.","hideous but insanely useful"
"4274","Flexibility","","powerful creative sensible"
"4275","easy to get jobs done with","not enough automatation to aid people to build modern perl apps, or best practice. Padre is getting there though with its plugins. E.g Logging set up well form the start. Also lack of good interface to R statistical language.",""
"4276","","",""
"4277","its freedom of expression.","distribution","a swiss-army chainsaw"
"4278","Modules for virtually every purpose.[CR]Collaboration with other programming languages and software products.","Actually nothing",""
"4279","","",""
"4280","","",""
"4281","","",""
"4282","cpan, community","all the crap you read about perl being old fashioned, unmaintainable and bad for business etc","perl makes programming fun again"
"4283","regexps","unicode problems wrt modules (e.g. double encoding)","flexible, powerful, fast"
"4284","","",""
"4285","Easy to use, easy to install","",""
"4286","","",""
"4287","","",""
"4288","Flexibility + CPAN","it's syntax","superglue"
"4289","CPAN and community libraries, particularly for molecular biology","It's not C","Do I win a prize?"
"4290","well-integrated regular expressions","","easy, stunning,  modular"
"4291","convenient development; gets the job done quickly ","no real nice-looking/powerful/well-documented/easy-to-build-and-install/portable/... GUI toolkit binding","both easy and powerful, compact, flexible"
"4292","* there is more than one way to do it[CR][CR]* if you open a perl file/module, you immediately see from the style how skilled the author of the code was/is","* there is more than one way to do it","there is more than one way to describe perl"
"4293","","",""
"4294","","",""
"4295","CPAN and #Perl","The bad rep.","Dynamic flexible powerful elegant mature"
"4296","The language is flexible and allows you to code quickly.","OO is cumbersome. Although Moose fixes that.[CR][CR]Exceptions suck big time.[CR][CR]I hate to unroll @_;[CR][CR]Fix those three things in some 5.1x version you will make me very very happy.[CR]","good enough"
"4297","Expressiveness[CR]CPAN[CR]TMTOWTDI","Excessive dynamism makes it hard to do enough compile-time checking sometimes",""
"4298","","",""
"4299","","",""
"4300","programing is great and easy","- the lack of information and standards to compile perl and modules onto several plateform (solaris, aix, windows)[CR]","Perl is Embedded in Real Life :-)"
"4301","CPAN","that context sensitivity unnecessarily complicates every API.","The prototypical scripting language."
"4302","It is scalable","The lack of documentation and development of modules.","I think perl is a great web application language."
"4303","","",""
"4304","","",""
"4305","...that it has no artificial limits nor does it force you into one particular paradigm.","...the lack of interest/support in it outside the perl community.","versatile, powerful, fun"
"4306","","",""
"4307","","",""
"4308","C like, built in strings, arrays, hashes etc.","difference between C++, Java, Perl etc when you spend your life switch between these three the subtle difference in ifs, classes etc is a pain.[CR]I would like one language that provides C++ templates and OOPs, and Perl style inbuilt default types. Java like class files, Perl like scripts and C++ object, ie I as a developer can choose which sort of environment is best rather than having to select a language to switch modes.","The best scripting language, ever!"
"4309","","",""
"4310","","",""
"4311","","",""
"4312","flexibility","quality of cpan projects not always consistent","fast multiplatform easy cgi"
"4313","Regular Expressions","Multiline comments missing","perl a good scripting language"
"4314","vec","exception handling","gets the job done"
"4315","","",""
"4316","","",""
"4317","","",""
"4318","It is easy to learn.","OpenVMS support is not particularly robust with respect to CPAN modules.",""
"4319","","",""
"4320","There's nothing at all you can't do with perl, and it has a wide range of usually high quality (code and maintenance) modules in cpan which cover mostly everything, from the most simple tasks to, for example, binding with gstreamer libraries.","Right now, migrating all code to perl6. As a more general point of view, the lack of a really useful thread model.","thre's nothing you can't do"
"4321","that i can make my scripts fast...","",""
"4322","","",""
"4323","The efficiency with which the programmer can specify what is wanted, and the creativity with which it can be specified.","unintuitive/obscure language behaviors","flexible rich fun"
"4324","","",""
"4325","PCRE[CR]flexibility (including name management)[CR]simplicity, briefness, handy datastructures","OO Syntax (classes need to be separated to files)[CR]obscure (and undocumented) cases, very difficult to find / understand[CR]lack of module to load .so / .dll in runtime (like ctags for py, jna for java)[CR]function prototypes required[CR]slow to deal with megabyte strings","easy way to ask machine"
"4326","TMTOWTDI","TMTOWTDI[CR]OO methodologies[CR]Lack of Moose::Tiny[CR]How buggy/behind perl is on Redhat/Centos distros (Not your fault I know)","It's all I really need."
"4327","How fast you can roll a script to transform new data formats into something you can already deal with.[CR]The wealth of modules, code snippets, news sites, how-to articles, user forums.","Module installation/compatibility woes.[CR]Fear of Perl6 making all my knowledge redundant.[CR]The snippy attitude on perl newsgroups when confronted with someone who didn't instantly know all the deeper intricacies of perl and how to condense them into an inscrutable 74-character one-liner.","Flexible, intuitive, ideal for text-munging"
"4328","its flexability","needing a C compiler for some CPAN modules.",""
"4329","Functional aspects","The perception that it's dead.",""
"4330","","",""
"4331","everything is possible","memory usage","you need the perl best practices"
"4332","","",""
"4333","","",""
"4334","","",""
"4335","CPAN","its variery","swiss army chainsaw"
"4336","short syntax","Missing/complicated object orientation",""
"4337","","",""
"4338","","",""
"4339","","",""
"4340","","",""
"4341","CPAN","","Practical, Compehensive, Community, Modules"
"4342","CPAN Modules","Debugging",""
"4343","There is more than one way to do it","It is ugly",""
"4344","naught","all","not a good language"
"4345","many cpan modules.","cpan modules is two many to choice.","good text processing language"
"4346","","",""
"4347","CPAN","surprising features (AUTOLOAD, contexts), hard-to-parse, lack of typing information",""
"4348","The speed at which programs can be written.","That (other's) perl code is hard to read.","Dynamic multi-purpose programming language"
"4349","always ready to use, fast to develop.","","fast easy "
"4350","","",""
"4351","","",""
"4352","","",""
"4353","work to effect ratio","cpan dependencies",""
"4354","","",""
"4355","flexibility","arcane syntax","accessible powerful dynamic fast"
"4356","","",""
"4357","","",""
"4358","Free code flow","Occasional neccesity of duplication","Awesome"
"4359","It helps you do what you need to do. Not only it does not get in your way: it has CPAN. It has plenty of documentation in the web. It's community encourages good-written code.","Their web pages are from the 90ies, and it makes Perl look old","The language for practical people"
"4360","","",""
"4361","","",""
"4362","its dynamic nature, and flexibility.","bad reputation with manager and other programmers.","sleak powerful easy can do anything"
"4363","","",""
"4364","CPAN","dereferencing lists of hashes, hashes of lists, etc. Not intuitive. ","powerful flexible reliable fun"
"4365","CPAN.","Many things are hacks layered over other hacks layered over an awkward base system, e.g. object-oriented programming: either you use Moose or you do the old, awkward way.","proven, works, industry standard, awkward"
"4366","","",""
"4367","Its introspection capabilities (this saved me a lot) and of course its native integration of regular expressions.","True lack of constants support and a way load/unload them at will to manage the memory space a bit more.","fast effective convenient complex mess"
"4368","CPAN and your Culture","","fun"
"4369","","",""
"4370","very good for prototyping and quickly testing an idea","why many programmers do not understand self referencing","describing perl is like perl"
"4371","CPAN","Lacking of exception based error handling in Perl itself and nearly all CPAN modules. Something that the Perl community lacks completely.[CR][CR]Adam Kennedys *::Tiny modules ;)","Flexible allrounder that nearly can do everything."
"4372","CPAN","lack of programmers with perl knowledge","fast, easy, reliable"
"4373","the expressiveness of the language.","lack of discoverability (compared to python, which encourages docstrings and a REPL which provides easy access to them).","ugly, powerful, flexible, badly documented"
"4374","Learnability","",""
"4375","idiomatic usage","",""
"4376","Encouraging the virtues of a programmer.[CR]also: TIMTOWTDI,[CR]Easy things are easy, hard things possible.","It needs to handle too much legacy.[CR]Perl 6 should become ready for production.","Perl is like glue."
"4377","Fun to use","Two many ways to do the things","rapid application development"
"4378","weak typing, abundance of CPAN modules, PCRE","Readability","great for rapid prototyping"
"4379","fast and easy","apt-get install","perl rules"
"4380","","",""
"4381","","",""
"4382","That you can do with it whatever you want to.","Purly multi-threading support.",""
"4383","","",""
"4384","CPAN","threads",""
"4385","Incredible module library and breadth of support","Reading and understanding someone else's Perl is much more difficult than in most other languages I've seen. The lack of clear typing (actual objects/complex datatypes, not $/@/%) makes determining what a variable is/does/can do very difficult.","Broadly useful tool but not a panacea"
"4386","The ability to do complex tasks quickly without spending a lot of development time.","Cross platform problems with certain CPAN modules and the difficulty installing CPAN modules on Windows (ActiveState PPMs are awesome when the CPAN modules build).","You're still writing bash scripts?!?"
"4387","It can do almost anythings + CPAN","",""
"4388","","",""
"4389","","",""
"4390","","",""
"4391","map, grep, =~, bless","hearing that perl 6 will be a completely different language (imho)","hackers' language of choice"
"4392","","",""
"4393","large community, widespread, CPAN (large pool of add ons), easy to learn","sensitivity to meta chars / special chars","i like programming perl"
"4394","","",""
"4395","","",""
"4396","I tend to think along the same lines as perl. I tried it with python and I just don't think that way.","The number of people who write off perl as bad.","scripting language interpreted fast"
"4397","CPAN[CR]","Difficult to parse.  The IDE I use (Leo - Literate Editing with OUtlines) can't recognize class/function boundaries in imported code.  I have to specify them manually.[CR]","interpreted flexible reliable great libraries"
"4398","","perl 5 doesn't have function parameter checking",""
"4399","","",""
"4400","bunch of futures.","requirement to learn this bunch of futures to read others' code.","flexible rapid fun"
"4401","CPAN and its order, you always know where to look for a perl lib","its extremely flexible syntax","beautiful but singular language"
"4402","","",""
"4403","Concise coding , to the point without any overhead...","My memory ;o)","Easily the most power at your fingertips ;o)"
"4404","it's powerful","there is a lot to learn about it...  i just don't have time.","kick ass superglue duct-tape"
"4405","mature, stable, large CPAN libraries","antiquated default behavior in support of backwards compatibility. Proper UTF8 is a PITA.","past its prime"
"4406","Flexibility","Performance","Makes my life easier."
"4407","Short code, regexp are powerful, many CPAN modules","","Easy compact quick modules regexp"
"4408","You can solve small tasks quickly.","Some lack of good third-party libraries.",""
"4409","it's flexibility","it's built in object system","flexible fun compact multitalented practical"
"4410","","",""
"4411","DWIM, community , CPAN","Some good and complex modules have not-so-good docs.",""
"4412","The ability to build DSLs within a module. I mean, just look at LWP, or Moose. Either one basically twists the perl syntax to make it fit the problem. It's way better than the libraries from the .NET world.","The gap between the perl world and the rest of the system. If I install stuff from CPAN, I lose any possibility of manipulating it with my native package manager. And vice versa. It would be nice if Perl could do a better job of dealing with this than other languages. (Most of them are pretty broken too. Maybe Java's jars are a bit better, but not much.)","The language you can reshape"
"4413","","",""
"4414","","",""
"4415","","",""
"4416","","",""
"4417","Regex","Nothing","Language which  to express my mind in my way"
"4418","CPAN.","Too damned many ways to do it means it's easy to write code/use features that make the code unreadable.","We have a love/hate relationship"
"4419","","haven't yet found a comparable eclipse/Java like IDE",""
"4420","TIMTOWTDI","doc is not so obvious if you do not programm with the core perl language. For instance, the perl GTK2 doc is very poor.","marvellous tool with no equivalent today"
"4421","string manipulation","",""
"4422","CPAN","Compared to modern IDEs, all perl editors (including padre or kephra) are crap. There's no working autocompletion, so it's hard as hell to maintain other people's code.[CR]There's no standards to look at. ","a good choice for throwaway programs"
"4423","TMTOWTDI! Duct tape!","TMTOWTDI ;)","the duct tape of scripting languages."
"4424","","",""
"4425","","",""
"4426","","",""
"4427","syntax and CPAN","it is not fully available on small embedded systems","gets the job done easily"
"4428","It's quick to put things together and extremely flexible.","CPAN modules often are nonfunctional, unmaintained, outdated, and difficult to search through; Building standalone applications is hokey; graphical toolkits are lacking; Perl ORMs expect that you only do server programming and have bad start up time; there is little fine grained control of data structures when number crunching is necessary.","flexible, powerful, and odd"
"4429","","",""
"4430","","",""
"4431","one liners (-e)","installing modules requires root permissions","good at munging text"
"4432","","",""
"4433","Regular Expressions","'strict' is optional. ","Multipurpose dynamic prototyping language"
"4434","easy and fast to solve my problems","windows api programing i do with different tools...so, cant tell. also its ages ago i did some programing with perl.","it's kEwL!"
"4435","Everything.","Nothing.","Perl does everything I need."
"4436","Regex / text manipulation / cpan / easy usage","encodings","Perl rocks"
"4437","Rapid Development, DWIMing, TIMTOWTDI :)","TIMTOWTDI :)","partially eclectic rubbish lister"
"4438","","",""
"4439","Its flexibility.","Other people's bad code.","Flexible, robust, established, powerful, proven"
"4440","CPAN","TMTOWTDI","Pathologically Eclectic Rubbish Lister"
"4441","its community","upgrades","gets things done, fast and well"
"4442","","too many files",""
"4443","","",""
"4444","It's fun to use","It puts people off using me for projects because they want PHP","I love using Perl."
"4445","TMTOWTDI","not widely used","simple, fast, efficient, powerfull, handy"
"4446","","",""
"4447","","",""
"4448","It's flexibility","It's flexibility","The heart of Open Source"
"4449","Easy to learn and start coding in.","None till date","easy fast robust debug "
"4450","is its evolution as a programming language has similarities to the evolution of natural language.","is its evolution as a programming language has similarities to the evolution of natural language.","concise expressive overindulgent elegant obfuscate"
"4451","","",""
"4452","","",""
"4453","","",""
"4454","","",""
"4455","easy, well maintained, CPAN","no typing","fast small easy to learn"
"4456","","",""
"4457","","",""
"4458","quick results","","very good for text processing of any kind"
"4459","","",""
"4460","to get fast and easy good results.","the module (structure) with its interdependences...","fast prototypes, easy to use, more than one way "
"4461","good to learn, logical","people who roll their eyes when they hear about Perl","cool"
"4462","Flexibility","",""
"4463","","",""
"4464","-e[CR][CR]In other words, being able to write quick throw-away scripts on the command line is wonderful. I write several every day.","Every new subversion tends not to care about preexisting code. I still remember when they changed the semantics of foreach so that the index variable became an alias rather than a copy, which totally broke any code that iterated over an array and modified the loop variable. I agree that the change was for the better, and I understand that the language needs to change to avoid stagnation, but this kind of attitude is frustrating.[CR][CR]The other issue is that you never know what version of perl is going to be installed somewhere. Some machines are still on 5.8 (PowerPC Macs for example), and some are back in the 5.6 dark ages. Nothing mainstream has 5.12, not Ubuntu 10.04and not Fedora 13.","Get it done, easily."
"4465","","",""
"4466","","",""
"4467","to be honest, i don't think there is a good thing about perl","- ugly, unstructured, hard to read code[CR]- no real object orientation","perl is obsolete"
"4468","flexibility, ability to do just about anything","That it's stuck in the 1990s. ",""
"4469","","",""
"4470","The community","The lack of Perl programmers","The language by programmers for programmers"
"4471","Perl is extremely expressive.","I have yet to find anything in perl that frustrates me.","expressive extensible intuitive"
"4472","","",""
"4473","","",""
"4474","it is simple and one can do everything, from most stupid things to hardest ones (thanks to CPAN)","two way to maintain perl packages: from distrib and/or cpan (shell) and both are sometimes necessary","simple and powerful - use cpan!"
"4475",".. to learn many ways of programming instead of just one.",".. it is being looked down on.","multi-purpose useful and fun language"
"4476","the versatility and the power","the versatility and the power","brushing with a dynamite toothbrush"
"4477","ease of use","maintenance",""
"4478","powerful manipulation of complex data structures without an overly complex syntax","lack of true OO in the language, rather it is cobbled onto it","semi-OO flexible powerful fun"
"4479","It's available everywhere","Slow uptake on modern ways to do things - it's there now","fun, arcane, powerful, weird, tmtowtdi"
"4480","Flexibility.","Obscure and magic programs.","Fast and agile deployment"
"4481","Easy to learn, fast results.","The syntax is sometimes grubby. Foreign code sometimes difficult to understand. Unfortunately not everyone uses strict.","It's like a swiss army knife. "
"4482","I like it and it likes me!","I am not frustrated.","A language I like."
"4483","easy to use","sometimes foreign code is realy hard to read",""
"4484","- excellent text-processing tool[CR]- multi-platform[CR]- many add-on modules[CR]- concise[CR]- its culture","- date and time functions (especially localtime)[CR]- idiosyncratic syntax (eg, my %a = (); $a{'A'} = 23; )[CR]- flat arrays [CR]- primitive OO[CR]- no functional programming[CR]- == vs. eq[CR]- != vs ne[CR]- undef and defined","Powerful multi-platform modular concise cultural"
"4485","CPAN","variable naming schemes $, @, [], {}, -> ????????????????????, context","write only language"
"4486","","",""
"4487","","",""
"4488","","",""
"4489","It'f flexible.  ","",""
"4490","","",""
"4491","","",""
"4492","","",""
"4493","","",""
"4494","many platform support","CPAN - some times bad code quality in there","script language interpreter stuff"
"4495","","",""
"4496","","",""
"4497","CPAN","badly written code","universal, flexible, rich"
"4498","millions of ways to do the same thing","millions of ways to do the same thing",""
"4499","","",""
"4500","","",""
"4501","","",""
"4502","","",""
"4503","","",""
"4504","flexibility, rapid prototyping, ease of maintenance","no ability to create binary versions (compiled) of custom code","self-enabled freedom"
"4505","TMTOWTDI","","fine power flexible fun ineresting"
"4506","TIMTOWDY","nope","powerful flexible clear beautiful"
"4507","It exists on almost every linux/unix machine","incompatibilities between different versions and cpan failures",""
"4508","","",""
"4509","There is more than one way to do it - and you can choose the way that is most intuitive for you","handling binary data seems more difficult compared to C","Perl is simply cool"
"4510","","",""
"4511","This is a very flexible, funny and powerfull language.","It is not hype.","Funniest language of all time."
"4512","","",""
"4513","CPAN","",""
"4514","","",""
"4515","","",""
"4516","","",""
"4517","CPAN","CPAN","An educational language to work with"
"4518","","",""
"4519","","",""
"4520","","",""
"4521","make me think more and the result is best","the other people who speaks bad news from perl without knows","perl it's a lenguage"
"4522","CPAN. Or maybe how regexes and other text-slicing-and-dicing are integrated into the language.","At the time I used it most (perhaps 10 years ago), I wasn't aware of a good IDE (for instance, Eclipse supports me fairly well in Java development and refactoring nowadays).","Swiss army knife"
"4523","community","performance (slowness)","cpan community solution"
"4524","Flexibility, good documentation, lots of good CPAN modules","Poorly documented / broken CPAN modules","brilliant and fun to use"
"4525","","",""
"4526","","",""
"4527","CPAN and the community","The FUD surrounding it, Perl 6","brilliant but misunderstood"
"4528","The combination of procedural, object oriented and functional programming possibilities. And most of all: Moose and Catalyst!","VaporWare-one-language-to-rule-them-all-but-we-dont-quite-get-it-yet Perl 6","dont overload special characters meanings"
"4529","CPAN","","flexible, powerful"
"4530","that it allows me to get stuff done by reusing the work of others via CPAN","unpacking @_","dynamic, flexible, powerful, allows craziness"
"4531","CPAN","There are too many ways to do it","classic mature widespread alive"
"4532","","",""
"4533","Flexibility, large number of standard modules, even larger number of CPAN modules, and the tight integration of string handling.","The occasional overreliance on modules, and the even more occasional arrogant user community.","Flexible, modern, practically object-oriented."
